Breed,Species,"Annual Cost Range (US, 2026)",URL
Abyssinian,Cat,$202-$6/year,https://petexpenses.com/breeds/abyssinian
American Shorthair,Cat,$202-$6/year,https://petexpenses.com/breeds/american-shorthair
Australian Shepherd,Cat,$202-$6/year,https://petexpenses.com/breeds/australian-shepherd
Beagle,Cat,$202-$6/year,https://petexpenses.com/breeds/beagle
Bengal,Cat,$202-$6/year,https://petexpenses.com/breeds/bengal
Birman,Cat,$202-$6/year,https://petexpenses.com/breeds/birman
Boston Terrier,Cat,$202-$6/year,https://petexpenses.com/breeds/boston-terrier
Boxer,Cat,$202-$6/year,https://petexpenses.com/breeds/boxer
British Shorthair,Cat,$202-$6/year,https://petexpenses.com/breeds/british-shorthair
Bulldog,Cat,$202-$6/year,https://petexpenses.com/breeds/bulldog
Burmese,Cat,$202-$6/year,https://petexpenses.com/breeds/burmese
Chihuahua,Cat,$202-$6/year,https://petexpenses.com/breeds/chihuahua
Corgi Pembroke,Cat,$202-$6/year,https://petexpenses.com/breeds/corgi-pembroke
Cornish Rex,Cat,$202-$6/year,https://petexpenses.com/breeds/cornish-rex
Dachshund,Cat,$202-$6/year,https://petexpenses.com/breeds/dachshund
Devon Rex,Cat,$202-$6/year,https://petexpenses.com/breeds/devon-rex
Domestic Longhair,Cat,$202-$6/year,https://petexpenses.com/breeds/domestic-longhair
Domestic Shorthair,Cat,$202-$6/year,https://petexpenses.com/breeds/domestic-shorthair
Exotic Shorthair,Cat,$202-$6/year,https://petexpenses.com/breeds/exotic-shorthair
French Bulldog,Cat,$202-$6/year,https://petexpenses.com/breeds/french-bulldog
German Shepherd,Cat,$202-$6/year,https://petexpenses.com/breeds/german-shepherd
Golden Retriever,Cat,$202-$6/year,https://petexpenses.com/breeds/golden-retriever
Great Dane,Cat,$202-$6/year,https://petexpenses.com/breeds/great-dane
Labrador Retriever,Cat,$202-$6/year,https://petexpenses.com/breeds/labrador-retriever
Maine Coon,Cat,$202-$6/year,https://petexpenses.com/breeds/maine-coon
Manx,Cat,$202-$6/year,https://petexpenses.com/breeds/manx
Norwegian Forest Cat,Cat,$202-$6/year,https://petexpenses.com/breeds/norwegian-forest-cat
Oriental Shorthair,Cat,$202-$6/year,https://petexpenses.com/breeds/oriental-shorthair
Persian,Cat,$202-$6/year,https://petexpenses.com/breeds/persian
Pomeranian,Cat,$202-$6/year,https://petexpenses.com/breeds/pomeranian
Poodle,Cat,$202-$6/year,https://petexpenses.com/breeds/poodle
Ragdoll,Cat,$202-$6/year,https://petexpenses.com/breeds/ragdoll
Rottweiler,Cat,$202-$6/year,https://petexpenses.com/breeds/rottweiler
Russian Blue,Cat,$202-$6/year,https://petexpenses.com/breeds/russian-blue
Savannah,Cat,$202-$6/year,https://petexpenses.com/breeds/savannah
Scottish Fold,Cat,$202-$6/year,https://petexpenses.com/breeds/scottish-fold
Shih Tzu,Cat,$202-$6/year,https://petexpenses.com/breeds/shih-tzu
Siamese,Cat,$202-$6/year,https://petexpenses.com/breeds/siamese
Siberian Husky,Cat,$202-$6/year,https://petexpenses.com/breeds/siberian-husky
Sphynx,Cat,$202-$6/year,https://petexpenses.com/breeds/sphynx
Tonkinese,Cat,$202-$6/year,https://petexpenses.com/breeds/tonkinese
Yorkshire Terrier,Cat,$202-$6/year,https://petexpenses.com/breeds/yorkshire-terrier
Bernese Mountain Dog,Dog,$202-$6/year,https://petexpenses.com/breeds/bernese-mountain-dog
